signal,choice,contrast
-0.22442,0,10
0.0063068,1,10
-0.6476,0,8.3333
-0.44638,1,8.3333
0.86845,1,6.9444
-0.39426,0,6.9444
0.30984,1,5.787
-0.5709,0,5.787
-1.0637,0,4.8225
-0.010738,0,4.8225
-0.09238,1,4.0188
0.70752,1,4.8225
0.49297,0,4.8225
-0.27982,0,4.0188
0.56286,0,4.0188
0.51713,0,3.349
0.77531,1,4.0188
-0.42579,1,4.0188
-0.11527,0,3.349
-1.152,0,3.349
0.074606,0,2.7908
0.4659,1,2.7908
-0.083903,0,2.3257
-0.24851,1,2.7908
-0.58619,0,2.7908
0.27698,1,2.5371
0.24471,0,2.5371
-0.068156,1,2.7908
-0.0075882,1,3.0699
-0.47165,0,3.0699
-0.88845,1,2.7908
1.0415,1,2.7908
0.12055,1,2.5371
-0.10752,1,2.7908
-0.12674,1,2.7908
0.59182,1,2.5371
0.10971,0,2.5371
-0.22817,0,2.3065
-0.089914,1,2.5371
0.44069,1,2.5371
-0.21564,1,2.4163
-0.075475,0,2.4163
0.50445,0,2.3012
-0.29351,0,2.4163
0.43287,0,2.4163
-0.67671,0,2.3012
-0.083833,0,2.4163
0.9084,1,2.4163
0.066705,0,2.5371
-0.51078,1,2.664
0.29118,1,2.7972
-0.29293,0,2.7972
1.1618,0,2.664
-0.96509,1,2.7972
0.18946,0,2.7972
0.15043,1,2.664
-0.50582,1,2.664
0.15842,1,2.7972
-0.16743,1,2.7972
0.11082,1,2.664
0.29181,1,2.664
0.094983,1,2.7972
-0.036029,1,2.7972
0.12276,0,2.664
-0.14793,1,2.664
0.56774,1,2.5371
0.005107,1,2.5371
-0.86238,1,2.664
-0.43178,1,2.7972
0.30259,1,2.7972
0.73808,1,2.664
0.29822,1,2.664
-0.041006,1,2.5371
-0.30255,1,2.5371
-0.36094,0,2.664
0.0067659,0,2.664
0.50161,0,2.5371
-0.44091,0,2.664
0.05626,0,2.664
-0.33112,0,2.7972
0.066298,0,2.937
0.25701,0,3.0839
0.28312,1,3.2381
-0.5175,1,3.2381
0.37377,1,3.0839
0.47937,1,3.0839
-0.015082,1,2.937
0.20586,1,2.937
0.60355,1,2.7972
-0.081752,1,2.937
0.014241,0,3.0839
0.075456,1,3.0839
0.56678,1,2.937
-0.61047,1,2.937
0.77749,0,2.7972
-0.12424,1,2.7972
-0.33491,0,2.937
0.70071,1,2.937
-0.16989,1,2.7972
0.26524,0,2.7972
0.12514,0,10
-0.46727,1,10
-0.50472,1,5
-0.029024,1,5
-0.27269,1,2.5
0.23893,1,2.5
0.67218,1,5
0.087814,0,5
-0.139,0,2.5
-0.0061844,0,5
0.17056,1,5
0.91305,1,2.5
0.077428,1,2.5
0.24859,1,1.25
0.090905,0,2.5
0.32183,0,2.5
0.022873,0,3.75
-0.18692,1,3.75
0.55423,0,2.5
-0.21308,0,2.5
-0.082581,0,1.6667
0.064842,1,1.6667
0.48021,1,1.1111
-0.11682,1,1.1111
-0.07273,0,0.74074
0.057728,1,1.1111
-0.062859,0,1.1111
-0.63526,1,0.74074
-0.1751,1,1.1111
0.37202,1,1.1111
0.78077,1,0.88889
0.55779,1,0.88889
-0.72958,0,0.71111
-0.076996,1,0.88889
0.023892,0,0.88889
0.29819,0,0.71111
-1.1537,1,0.71111
0.37619,0,0.88889
-0.64764,0,1.1111
0.57245,0,1.3889
-0.10513,1,1.3889
-0.12061,1,1.7361
-0.24044,1,2.1701
-0.33989,1,2.7127
-0.3047,0,2.7127
0.50323,0,2.1701
-0.74032,0,2.7127
0.61839,1,3.3908
-0.37493,1,3.3908
0.31863,1,4.2386
0.025204,1,4.2386
0.392,0,3.3908
0.35477,0,3.3908
0.50819,0,2.7127
0.23911,0,2.7127
-0.18729,0,2.1701
-0.51622,0,2.7127
-0.70856,0,2.7127
-1.5891,0,2.1701
-0.8119,1,2.1701
-0.21385,0,1.7361
0.71691,0,1.7361
-0.075489,1,1.3889
-0.66412,1,1.3889
-0.58901,1,1.7361
-0.60231,0,1.7361
0.42749,0,1.3889
-0.73923,0,1.7361
0.49,1,2.1701
-0.19767,0,2.1701
0.62554,1,2.7127
0.11748,1,2.7127
-0.95241,0,3.3908
0.051146,0,3.3908
0.2923,0,2.7127
0.32715,0,3.3908
0.234,0,3.3908
-0.33605,0,2.7127
0.31445,0,2.7127
0.066693,1,3.3908
-0.025671,0,3.3908
0.29716,0,2.7127
0.77199,0,3.3908
-0.26714,0,4.2386
0.66811,1,4.2386
-0.19658,0,5.2982
-0.65422,0,5.2982
-0.53745,1,4.2386
-0.62249,1,4.2386
0.49163,1,3.3908
0.33707,1,4.2386
-0.50243,0,4.2386
-0.23171,0,3.3908
0.14042,0,3.3908
0.12491,0,2.7127
0.10009,0,2.7127
0.64694,0,2.1701
0.057504,1,2.1701
0.11869,1,1.7361
0.50749,0,1.7361
-0.12507,0,10
1.0191,1,10
-0.37032,0,5
0.23202,1,5
-0.11818,1,2.5
-0.18562,0,5
-0.54341,1,5
-0.12034,1,2.5
-0.31699,1,2.5
0.26083,1,1.25
-0.29108,1,1.25
-0.07153,1,0.625
0.5818,1,1.25
0.2247,1,1.25
-0.0096757,1,2.5
